label,pred,prob,latency_us,sram_bytes,correct
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,151,309704,1
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,150,309704,1
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,141,309704,1
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,151,309704,1
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,141,309704,1
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,141,309704,1
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,141,309704,1
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,141,309704,1
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,141,309704,1
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,141,309704,1
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,141,309704,1
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,148,309704,1
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,144,309704,1
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,141,309704,1
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,141,309704,1
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,150,309704,1
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,150,309704,1
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,141,309704,1
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,185,309704,1
ATTACK,1,1,143,309704,1
NORMAL,0,0.0011,144,309704,1
