label,pred,prob,latency_us,sram_bytes,correct
ATTACK,1,1,3,309704,1
NORMAL,0,0,3,309704,1
ATTACK,1,1,3,309704,1
NORMAL,0,0,3,309704,1
ATTACK,1,1,3,309704,1
NORMAL,0,0,3,309704,1
ATTACK,1,1,3,309704,1
NORMAL,0,0,3,309704,1
ATTACK,1,1,3,309704,1
NORMAL,0,0,3,309704,1
ATTACK,1,1,3,309704,1
NORMAL,0,0,2,309704,1
ATTACK,1,1,3,309704,1
NORMAL,0,0,3,309704,1
ATTACK,1,1,3,309704,1
NORMAL,0,0,3,309704,1
ATTACK,1,1,3,309704,1
NORMAL,0,0,3,309704,1
ATTACK,1,1,3,309704,1
NORMAL,0,0,3,309704,1
ATTACK,1,1,3,309704,1
NORMAL,0,0,3,309704,1
ATTACK,1,1,3,309704,1
NORMAL,0,0,3,309704,1
ATTACK,1,1,3,309704,1
NORMAL,0,0,3,309704,1
ATTACK,1,1,3,309704,1
NORMAL,0,0,3,309704,1
ATTACK,1,1,3,309704,1
NORMAL,0,0,2,309704,1
ATTACK,1,1,3,309704,1
NORMAL,0,0,3,309704,1
ATTACK,1,1,3,309704,1
NORMAL,0,0,3,309704,1
ATTACK,1,1,3,309704,1
NORMAL,0,0,3,309704,1
ATTACK,1,1,4,309704,1
NORMAL,0,0,3,309704,1
ATTACK,1,1,3,309704,1
NORMAL,0,0,3,309704,1
