label,pred,prob,latency_us,sram_bytes,correct
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1328,7180,1
ATTACK,1,1,1216,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1212,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1328,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1324,7180,1
ATTACK,1,1,1212,7180,1
NORMAL,0,0.0011,1324,7180,1
ATTACK,1,1,1220,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1212,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1212,7180,1
NORMAL,0,0.0011,1324,7180,1
ATTACK,1,1,1212,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1212,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1212,7180,1
NORMAL,0,0.0011,1324,7180,1
ATTACK,1,1,1216,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1340,7180,1
NORMAL,0,0.0011,1340,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1328,7180,1
ATTACK,1,1,1216,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1328,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1212,7180,1
NORMAL,0,0.0011,1328,7180,1
ATTACK,1,1,1216,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1212,7180,1
NORMAL,0,0.0011,1324,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1212,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1216,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1212,7180,1
NORMAL,0,0.0011,1324,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1352,7180,1
NORMAL,0,0.0011,1336,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1212,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1328,7180,1
ATTACK,1,1,1220,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1212,7180,1
NORMAL,0,0.0011,1324,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1212,7180,1
NORMAL,0,0.0011,1324,7180,1
ATTACK,1,1,1216,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1212,7180,1
NORMAL,0,0.0011,1320,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1328,7180,1
ATTACK,1,1,1208,7180,1
NORMAL,0,0.0011,1320,7180,1
