label,pred,prob,latency_us,sram_bytes,correct
ATTACK,1,0.9961,792,1676,1
NORMAL,0,0,818,1676,1
ATTACK,1,0.9961,792,1676,1
NORMAL,0,0,818,1676,1
ATTACK,1,0.9961,792,1676,1
NORMAL,0,0,818,1676,1
ATTACK,1,0.9961,792,1676,1
NORMAL,0,0,817,1676,1
ATTACK,1,0.9961,792,1676,1
NORMAL,0,0,818,1676,1
ATTACK,1,0.9961,792,1676,1
NORMAL,0,0,805,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,821,1676,1
ATTACK,1,0.9961,902,1676,1
NORMAL,0,0,810,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,814,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,801,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,815,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,815,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,815,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,815,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,801,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,815,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,815,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,815,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,801,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,801,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,815,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,815,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,801,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,815,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,815,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,801,1676,1
