label,pred,prob,latency_us,sram_bytes,correct
ATTACK,1,0.9744,7803,308808,1
NORMAL,0,0.0369,8668,308808,1
ATTACK,1,0.9744,7802,308808,1
NORMAL,0,0.0369,8669,308808,1
ATTACK,1,0.9744,7804,308808,1
NORMAL,0,0.0369,8660,308808,1
ATTACK,1,0.9744,7805,308808,1
NORMAL,0,0.0369,8673,308808,1
ATTACK,1,0.9744,7803,308808,1
NORMAL,0,0.0369,8663,308808,1
ATTACK,1,0.9744,7805,308808,1
NORMAL,0,0.0369,8667,308808,1
ATTACK,1,0.9744,7802,308808,1
NORMAL,0,0.0369,8672,308808,1
ATTACK,1,0.9744,7804,308808,1
NORMAL,0,0.0369,8674,308808,1
ATTACK,1,0.9744,7806,308808,1
NORMAL,0,0.0369,8666,308808,1
ATTACK,1,0.9744,7804,308808,1
NORMAL,0,0.0369,8675,308808,1
ATTACK,1,0.9744,7803,308808,1
NORMAL,0,0.0369,8669,308808,1
ATTACK,1,0.9744,7805,308808,1
NORMAL,0,0.0369,8674,308808,1
ATTACK,1,0.9744,7802,308808,1
NORMAL,0,0.0369,8663,308808,1
ATTACK,1,0.9744,7836,308808,1
NORMAL,0,0.0369,8679,308808,1
ATTACK,1,0.9744,7805,308808,1
NORMAL,0,0.0369,8662,308808,1
ATTACK,1,0.9744,7804,308808,1
NORMAL,0,0.0369,8675,308808,1
ATTACK,1,0.9744,7803,308808,1
NORMAL,0,0.0369,8669,308808,1
ATTACK,1,0.9744,7804,308808,1
NORMAL,0,0.0369,8675,308808,1
ATTACK,1,0.9744,7805,308808,1
NORMAL,0,0.0369,8668,308808,1
ATTACK,1,0.9744,7803,308808,1
NORMAL,0,0.0369,8673,308808,1
ATTACK,1,0.9744,7805,308808,1
NORMAL,0,0.0369,8677,308808,1
ATTACK,1,0.9744,7803,308808,1
NORMAL,0,0.0369,8675,308808,1
ATTACK,1,0.9744,7801,308808,1
NORMAL,0,0.0369,8671,308808,1
ATTACK,1,0.9744,7806,308808,1
NORMAL,0,0.0369,8672,308808,1
ATTACK,1,0.9744,7804,308808,1
NORMAL,0,0.0369,8676,308808,1
ATTACK,1,0.9744,7803,308808,1
NORMAL,0,0.0369,8677,308808,1
ATTACK,1,0.9744,7805,308808,1
NORMAL,0,0.0369,8672,308808,1
