label,pred,prob,latency_us,sram_bytes,correct
ATTACK,1,0.9367,5553,303208,1
NORMAL,0,0.0219,5570,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5571,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5570,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5572,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5569,303208,1
ATTACK,1,0.9367,5597,303208,1
NORMAL,0,0.0219,5564,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5569,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5571,303208,1
ATTACK,1,0.9367,5553,303208,1
NORMAL,0,0.0219,5578,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5568,303208,1
ATTACK,1,0.9367,5556,303208,1
NORMAL,0,0.0219,5572,303208,1
ATTACK,1,0.9367,5553,303208,1
NORMAL,0,0.0219,5580,303208,1
ATTACK,1,0.9367,5553,303208,1
NORMAL,0,0.0219,5568,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5574,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5572,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5572,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5578,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5569,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5570,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5574,303208,1
ATTACK,1,0.9367,5553,303208,1
NORMAL,0,0.0219,5569,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5572,303208,1
ATTACK,1,0.9367,5556,303208,1
NORMAL,0,0.0219,5573,303208,1
ATTACK,1,0.9367,5553,303208,1
NORMAL,0,0.0219,5564,303208,1
ATTACK,1,0.9367,5553,303208,1
NORMAL,0,0.0219,5567,303208,1
ATTACK,1,0.9367,5582,303208,1
NORMAL,0,0.0219,5564,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5570,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5571,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5579,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5570,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5570,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5574,303208,1
ATTACK,1,0.9367,5553,303208,1
NORMAL,0,0.0219,5572,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5568,303208,1
ATTACK,1,0.9367,5556,303208,1
NORMAL,0,0.0219,5571,303208,1
ATTACK,1,0.9367,5553,303208,1
NORMAL,0,0.0219,5564,303208,1
ATTACK,1,0.9367,5553,303208,1
NORMAL,0,0.0219,5567,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5573,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5570,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5570,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5572,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5570,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5570,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5564,303208,1
ATTACK,1,0.9367,5553,303208,1
NORMAL,0,0.0219,5568,303208,1
ATTACK,1,0.9367,5608,303208,1
NORMAL,0,0.0219,5568,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5572,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5579,303208,1
ATTACK,1,0.9367,5553,303208,1
NORMAL,0,0.0219,5577,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5574,303208,1
ATTACK,1,0.9367,5556,303208,1
NORMAL,0,0.0219,5567,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5574,303208,1
ATTACK,1,0.9367,5553,303208,1
NORMAL,0,0.0219,5569,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5569,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5568,303208,1
ATTACK,1,0.9367,5553,303208,1
NORMAL,0,0.0219,5572,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5567,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5569,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5569,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5568,303208,1
ATTACK,1,0.9367,5553,303208,1
NORMAL,0,0.0219,5569,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5578,303208,1
