label,pred,prob,latency_us,sram_bytes,correct
ATTACK,1,0.9961,793,1676,1
NORMAL,0,0,816,1676,1
ATTACK,1,0.9961,793,1676,1
NORMAL,0,0,825,1676,1
ATTACK,1,0.9961,792,1676,1
NORMAL,0,0,805,1676,1
ATTACK,1,0.9961,792,1676,1
NORMAL,0,0,813,1676,1
ATTACK,1,0.9961,793,1676,1
NORMAL,0,0,819,1676,1
ATTACK,1,0.9961,792,1676,1
NORMAL,0,0,816,1676,1
ATTACK,1,0.9961,793,1676,1
NORMAL,0,0,805,1676,1
ATTACK,1,0.9961,792,1676,1
NORMAL,0,0,805,1676,1
ATTACK,1,0.9961,792,1676,1
NORMAL,0,0,813,1676,1
ATTACK,1,0.9961,793,1676,1
NORMAL,0,0,820,1676,1
ATTACK,1,0.9961,792,1676,1
NORMAL,0,0,832,1676,1
ATTACK,1,0.9961,793,1676,1
NORMAL,0,0,806,1676,1
ATTACK,1,0.9961,792,1676,1
NORMAL,0,0,808,1676,1
ATTACK,1,0.9961,792,1676,1
NORMAL,0,0,826,1676,1
ATTACK,1,0.9961,793,1676,1
NORMAL,0,0,805,1676,1
ATTACK,1,0.9961,792,1676,1
NORMAL,0,0,830,1676,1
ATTACK,1,0.9961,793,1676,1
NORMAL,0,0,805,1676,1
ATTACK,1,0.9961,792,1676,1
NORMAL,0,0,819,1676,1
ATTACK,1,0.9961,862,1676,1
NORMAL,0,0,815,1676,1
ATTACK,1,0.9961,796,1676,1
NORMAL,0,0,815,1676,1
